Energy, geothermal, converted;('natural resource', 'in ground');megajoule
Crude Palm Oil extraction from FFBs {RER} |oil mill|;RER;megajoule;Crude Palm Oil extraction from FFBs {RER} |oil mill|
Anode paste, LFP;JP;kilogram;Anode paste, LFP
Straw bales | baling of straw;RER;megajoule;Straw bales | baling of straw
Tray with fasteners;GLO;kilogram;Tray with fasteners
Wood, soft, standing;('natural resource', 'biotic');cubic meter
market for styrene;GLO;kilogram;styrene
Coal, brown, in ground;('natural resource', 'in ground');kilogram
market for hydrogen, liquid;RER;kilogram;hydrogen, liquid
Selective coating, sputtering;GLO;square meter;Selective coating, sputtering
Calcium;('soil', 'agricultural');kilogram
Hydrogen, gaseous, 25 bar, from electrolysis;RER;kilogram;Hydrogen, gaseous, 25 bar
Silicon;('water', 'ground-, long-term');kilogram
market for polypropylene, granulate;GLO;kilogram;polypropylene, granulate
Carbon-14;('air', 'non-urban air or from high stacks');kilo Becquerel
Hydrocarbons, aromatic;('water', 'surface water');kilogram
Sulfur;('water', 'surface water');kilogram
Cyclohexane;('air', 'non-urban air or from high stacks');kilogram
market for natural gas, high pressure, vehicle grade;GLO;kilogram;natural gas, high pressure, vehicle grade
Carbon dioxide, from soil or biomass stock;('air',);kilogram
Carbon dioxide, in air;('natural resource', 'in air');kilogram
Xenon-133;('air', 'non-urban air or from high stacks');kilo Becquerel
Dinitrogen monoxide;('air', 'urban air close to ground');kilogram
Occupation, dump site;('natural resource', 'land');square meter-year
market for heat, district or industrial, natural gas;RoW;megajoule;heat, district or industrial, natural gas
market group for inorganic phosphorus fertiliser, as P2O5;RER;kilogram;inorganic phosphorus fertiliser, as P2O5
Methane, fossil;('air', 'non-urban air or from high stacks');kilogram
market for electronic component factory;GLO;unit;electronic component factory
market for synthetic rubber;GLO;kilogram;synthetic rubber
COD, Chemical Oxygen Demand;('water', 'surface water');kilogram
Rapeseed cultivation {RER} | rapeseed production Europe | Alloc Rec, U;RER;megajoule;Rapeseed cultivation {RER} | rapeseed production Europe | Alloc Rec, U
Carbon monoxide, non-fossil;('air',);kilogram
treatment of wastewater, average, capacity 1E9l/year;Europe without Switzerland;cubic meter;wastewater, average
market for magnesium sulfate;GLO;kilogram;magnesium sulfate
market group for electricity, low voltage;EUR;kilowatt hour;electricity, low voltage
heat production, natural gas, at industrial furnace low-NOx >100kW;Europe without Switzerland;megajoule;heat, district or industrial, natural gas
Toluene;('air',);kilogram
nitric acid production, product in 50% solution state;RER w/o RU;kilogram;nitric acid, without water, in 50% solution state
Chromium;('air',);kilogram
treatment of wastewater, from residence, capacity 1.1E10l/year;RoW;cubic meter;wastewater, from residence
Carbon monoxide, from soil or biomass stock;('air', 'non-urban air or from high stacks');kilogram
Chromium;('air', 'non-urban air or from high stacks');kilogram
Calcium, ion;('water', 'surface water');kilogram
IBIS fasteners;GLO;kilogram;IBIS fasteners
treatment of drilling waste, residual material landfill;CH;kilogram;drilling waste
electricity production, natural gas, conventional power plant;DE;kilowatt hour;electricity, high voltage
Oxygen;('natural resource', 'in air');kilogram
market for maintenance, electric scooter, without battery;GLO;unit;maintenance, electric scooter, without battery
noise, octave 7, day time, rural;('octave 7', 'day time', 'rural');joule
market for titanium dioxide;RoW;kilogram;titanium dioxide
electricity production, at power plant/hard coal, post, pipeline 200km, storage 1000m;RER;kilowatt hour;electricity, high voltage
Radon-222;('air', 'low population density, long-term');kilo Becquerel
market for butadiene;RER;kilogram;butadiene
m-Xylene;('air', 'urban air close to ground');kilogram
market for heat, future;GLO;megajoule;heat, future
Occupation, traffic area, rail/road embankment;('natural resource', 'land');square meter-year
market for carboxymethyl cellulose, powder;GLO;kilogram;carboxymethyl cellulose, powder
polyvinylchloride production, bulk polymerisation;RER;kilogram;polyvinylchloride, bulk polymerised
NMVOC, non-methane volatile organic compounds, unspecified origin;('air',);kilogram
electricity production, at power plant/biogas, post, pipeline 200km, storage 1000m;RER;kilowatt hour;electricity, high voltage
Heat, waste;('air', 'non-urban air or from high stacks');megajoule
electricity production, hydro, run-of-river;DE;kilowatt hour;electricity, high voltage
Cathode current collector, LTO;JP;kilogram;Cathode current collector, LTO
market for chemical factory, organics;GLO;unit;chemical factory, organics
Benzaldehyde;('air', 'non-urban air or from high stacks');kilogram
market for acrylic acid;RoW;kilogram;acrylic acid
market for metal working, average for metal product manufacturing;GLO;kilogram;metal working, average for metal product manufacturing
steel production, chromium steel 18/8, hot rolled;RoW;kilogram;steel, chromium steel 18/8, hot rolled
smelting of copper concentrate, sulfide ore;RoW;kilogram;copper, anode
market for used vegetable cooking oil;GLO;kilogram;used vegetable cooking oil
Strontium;('water', 'surface water');kilogram
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;DE;kilowatt hour;electricity, high voltage
market for flat glass, coated;RER;kilogram;flat glass, coated
market for copper, anode;GLO;kilogram;copper, anode
Ethene;('air', 'non-urban air or from high stacks');kilogram
Selenium;('air',);kilogram
Hydrogen-3, Tritium;('air', 'non-urban air or from high stacks');kilo Becquerel
Carbon dioxide, fossil;('air',);kilogram
Transformation, from forest, extensive;('natural resource', 'land');square meter
market for polyethylene, low density, granulate;GLO;kilogram;polyethylene, low density, granulate
section bar extrusion, aluminium;RER;kilogram;section bar extrusion, aluminium
Styrene;('air', 'non-urban air or from high stacks');kilogram
Ni3/5Co1/5Mn1/5(OH)2;GLO;kilogram;Ni1/3Co1/3Mn1/3(OH)2
market for lubricating oil;RoW;kilogram;lubricating oil
Transformation, from annual crop;('natural resource', 'land');square meter
Cathode paste, LFP;JP;kilogram;Cathode paste, LFP
market for polyethylene, high density, granulate;GLO;kilogram;polyethylene, high density, granulate
market for steel, chromium steel 18/8;World;kilogram;steel, chromium steel 18/8
Hexane;('air',);kilogram
Module packaging;GLO;kilogram;Module packaging
Carbon dioxide, from soil or biomass stock;('air', 'urban air close to ground');kilogram
Heptane;('air', 'urban air close to ground');kilogram
Particulates, < 2.5 um;('air',);kilogram
Propene;('air', 'non-urban air or from high stacks');kilogram
Positive active material, NMC-111;GLO;kilogram;Positive active material
kraft paper production;RER;kilogram;kraft paper
cobalt production;GLO;kilogram;cobalt
Positive electrode paste, NMC-111;GLO;kilogram;Positive electrode paste
Zinc;('air', 'low population density, long-term');kilogram
market for maize seed, for sowing;GLO;kilogram;maize seed, for sowing
Inner frame;GLO;kilogram;Inner frame
market for transport, freight train;Europe without Switzerland;ton kilometer;transport, freight train
noise, octave 7, day time, suburban;('octave 7', 'day time', 'suburban');joule
market for ammonia, anhydrous, liquid;RER;kilogram;ammonia, anhydrous, liquid
Acrolein;('air', 'non-urban air or from high stacks');kilogram
electricity production, wind, 1-3MW turbine, onshore;DE;kilowatt hour;electricity, high voltage
wire drawing, copper;RoW;kilogram;wire drawing, copper
Dinitrogen monoxide;('air', 'low population density, long-term');kilogram
Ethanol, from maize starch, at fuelling station;RER;kilogram;ethanol, without water, in 99.7% solution state, vehicle grade
market for tap water;Europe without Switzerland;kilogram;tap water
Toluene;('air', 'urban air close to ground');kilogram
Chromium;('air', 'urban air close to ground');kilogram
Gas, mine, off-gas, process, coal mining;('natural resource', 'in ground');cubic meter
market for pesticide, unspecified;GLO;kilogram;pesticide, unspecified
Propane;('air', 'non-urban air or from high stacks');kilogram
market for heat, district or industrial, natural gas;Europe without Switzerland;megajoule;heat, district or industrial, natural gas
market for hydrochloric acid, without water, in 30% solution state;RER;kilogram;hydrochloric acid, without water, in 30% solution state
Chloride;('water', 'surface water');kilogram
Xenon-135;('air', 'non-urban air or from high stacks');kilo Becquerel
market for concrete, normal;CH;cubic meter;concrete, normal
transport, helicopter, LTO cycle;GLO;unit;transport, helicopter, LTO cycle
market for carbon black;GLO;kilogram;carbon black
Sodium, ion;('water', 'surface water');kilogram
Heat, waste;('water', 'surface water');megajoule
Cathode paste, NCA;JP;kilogram;Cathode paste, NCA
Anode current collector, LFP;JP;kilogram;Anode current collector, LFP
market for lithium carbonate;GLO;kilogram;lithium carbonate
maintenance, bicycle;CH;unit;maintenance, bicycle
diaphragm compressor module, high pressure;GLO;unit;diaphragm compressor module, high pressure
Lithium iron phosphate [LiFePO4];JP;kilogram;Lithium iron phosphate [LiFePO4]
Benzaldehyde;('air', 'urban air close to ground');kilogram
Anode paste, NCA;JP;kilogram;Anode paste, NCA
Carbon monoxide, fossil;('air', 'low population density, long-term');kilogram
m-Xylene;('air', 'low population density, long-term');kilogram
market for silica sand;GLO;kilogram;silica sand
CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m;RER;kilogram;CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m
1-Pentene;('air',);kilogram
market for lithium hexafluorophosphate;GLO;kilogram;lithium hexafluorophosphate
treatment of waste electric and electronic equipment, shredding;GLO;kilogram;waste electric and electronic equipment
heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas;CH;megajoule;heat, district or industrial, other than natural gas
Biodiesel, from used cooking oil, at fuelling station;RER;kilogram;biodiesel, vehicle grade
Occupation, traffic area, road network;('natural resource', 'land');square meter-year
Water, unspecified natural origin;('natural resource', 'in water');cubic meter
transmission network construction, electricity, high voltage;CH;kilometer;transmission network, electricity, high voltage
Selenium;('air', 'urban air close to ground');kilogram
Pentane;('air',);kilogram
Methyl ethyl ketone;('air',);kilogram
charging station, 100W;GLO;unit;charging station, 100W
Tab Aluminum;GLO;kilogram;Tab Aluminum
Occupation, annual crop;('natural resource', 'land');square meter-year
Granite, in ground;('natural resource', 'in ground');kilogram
market for internal combustion engine, passenger car;GLO;kilogram;internal combustion engine, for passenger car
computer production, desktop, without screen;GLO;unit;computer, desktop, without screen
Methane, tetrafluoro-, R-14;('air',);kilogram
Biodiesel from palm oil;RER;kilogram;Biodiesel from palm oil
Radon-220;('air', 'non-urban air or from high stacks');kilo Becquerel
market for blasting;GLO;kilogram;blasting
market for cast iron;GLO;kilogram;cast iron
Particulates, < 2.5 um;('air', 'urban air close to ground');kilogram
Acetaldehyde;('air', 'low population density, long-term');kilogram
Battery cell, LTO;GLO;kilogram;Battery cell
Ozone;('air',);kilogram
Phosphate;('water', 'ground-, long-term');kilogram
market for platinum;GLO;kilogram;platinum
market for steel, low-alloyed, hot rolled;GLO;kilogram;steel, low-alloyed, hot rolled
Formaldehyde;('air', 'non-urban air or from high stacks');kilogram
market for aluminium casting facility;GLO;unit;aluminium casting facility
market for stone wool, packed;GLO;kilogram;stone wool, packed
Plant oil from crude oil | refining of vegetable oil from oil palm|;RER;megajoule;Plant oil from crude oil | refining of vegetable oil from oil palm|
Copper;('air', 'low population density, long-term');kilogram
Low voltage system;GLO;kilogram;Low voltage system
barite production;RER;kilogram;barite
Battery tray;GLO;kilogram;Battery tray
Iron, ion;('water', 'surface water');kilogram
market for soap;GLO;kilogram;soap
Heat, waste;('air', 'urban air close to ground');megajoule
Oil, crude, in ground;('natural resource', 'in ground');kilogram
market for tap water;CH;kilogram;tap water
noise, octave 4, day time, suburban;('octave 4', 'day time', 'suburban');joule
Ethanol, from wheat straw pellets, at fuelling station;RER;kilogram;ethanol, without water, in 99.7% solution state, vehicle grade
market for polyvinylfluoride;GLO;kilogram;polyvinylfluoride
Methane, non-fossil;('air',);kilogram
electricity production, hard coal;DE;kilowatt hour;electricity, high voltage
argon production, liquid;RoW;kilogram;argon, liquid
market group for inorganic nitrogen fertiliser, as N;RER;kilogram;inorganic nitrogen fertiliser, as N
Anode paste, LTO;JP;kilogram;Anode paste, LTO
market for diesel, burned in building machine;GLO;megajoule;diesel, burned in building machine
Ethane;('air',);kilogram
market for calcium chloride;RER;kilogram;calcium chloride
Sulfate;('water', 'surface water');kilogram
Sugar beet cultivation {RER} | sugar beet production Europe | Alloc Rec, U;RER;megajoule;Sugar beet cultivation {RER} | sugar beet production Europe | Alloc Rec, U
Water;('air',);cubic meter
Battery retention;GLO;kilogram;Battery retention
Buffer tank;GLO;unit;Buffer tank
Cyclohexane;('air', 'urban air close to ground');kilogram
Battery management system;GLO;kilogram;Battery management system
Biodiesel from algae;RER;kilogram;Biodiesel from algae
market group for municipal solid waste;RER;kilogram;municipal solid waste
operation, computer, desktop, with liquid crystal display, active mode;CH;hour;operation, computer, desktop, with liquid crystal display, active mode
market for sheet rolling, chromium steel;GLO;kilogram;sheet rolling, chromium steel
market for zinc oxide;GLO;kilogram;zinc oxide
noise, octave 3, day time, rural;('octave 3', 'day time', 'rural');joule
market for sodium persulfate;GLO;kilogram;sodium persulfate
market for corrugated board box;RoW;kilogram;corrugated board box
Cadmium;('air',);kilogram
market for cobalt;GLO;kilogram;cobalt
market for wastewater, average;Europe without Switzerland;cubic meter;wastewater, average
Volume occupied, reservoir;('natural resource', 'in water');cubic meter-year
market group for diesel;RER;kilogram;diesel
market for transport, freight, inland waterways, barge;RER;ton kilometer;transport, freight, inland waterways, barge
Ethanol from wheat straw pellets;RER;kilogram;Ethanol from wheat straw pellets
Acrolein;('air',);kilogram
market for chemicals, inorganic;GLO;kilogram;chemical, inorganic
PAH, polycyclic aromatic hydrocarbons;('air',);kilogram
Sodium chloride, in ground;('natural resource', 'in ground');kilogram
market for lubricating oil;RER;kilogram;lubricating oil
Refined Waste Cooking Oil {RER} | Refining of waste cooking oil Europe | Alloc Rec, U;RER;megajoule;Refined Waste Cooking Oil {RER} | Refining of waste cooking oil Europe | Alloc Rec, U
Nitrogen oxides;('air',);kilogram
Acrolein;('air', 'urban air close to ground');kilogram
Propane;('air',);kilogram
tube insulation production, elastomere;RoW;kilogram;tube insulation, elastomere
Clay, unspecified, in ground;('natural resource', 'in ground');kilogram
Methane, fossil;('air', 'low population density, long-term');kilogram
Arsenic;('air',);kilogram
market for glass fibre;GLO;kilogram;glass fibre
Electrolyte, NCA;JP;kilogram;Electrolyte, NCA
Propane;('air', 'urban air close to ground');kilogram
Arsenic;('air', 'urban air close to ground');kilogram
carbon dioxide capture system;RER;unit;carbon dioxide capture system
electricity production, at wood burning power plant 20 MW, truck 25km, post, pipeline 200km, storage 1000m;RER;kilowatt hour;electricity, high voltage
market for sheet rolling, copper;GLO;kilogram;sheet rolling, copper
market for hexane;GLO;kilogram;hexane
treatment of used electric bicycle;CH;unit;used electric bicycle
End-busbar copper;GLO;kilogram;End-busbar copper
Walls and foundations, for hydrogen refuelling station;RER;unit;Walls and foundations, for hydrogen refuelling station
market group for heat, central or small-scale, natural gas;RER;megajoule;heat, central or small-scale, natural gas
market for sodium hydroxide, without water, in 50% solution state;GLO;kilogram;sodium hydroxide, without water, in 50% solution state
market for injection moulding;GLO;kilogram;injection moulding
Water;('water',);cubic meter
carbon dioxide, captured from atmosphere;RER;kilogram;carbon dioxide, captured from the atmosphere
Gangue, in ground;('natural resource', 'in ground');kilogram
market for metal working, average for copper product manufacturing;GLO;kilogram;metal working, average for copper product manufacturing
diaphragms, for diaphragm compressor;GLO;unit;diaphragms, for diaphragm compressor
Ethanol, from wheat grains, at fuelling station;RER;kilogram;ethanol, without water, in 99.7% solution state, vehicle grade
treatment of wastewater, unpolluted, capacity 5E9l/year;RoW;cubic meter;wastewater, unpolluted
Hydrogen-3, Tritium;('water', 'ocean');kilo Becquerel
market for display, liquid crystal, 17 inches;GLO;unit;display, liquid crystal, 17 inches
Ethane;('air', 'urban air close to ground');kilogram
charger production, for electric scooter;GLO;kilogram;charger, for electric scooter
Acetone;('air', 'low population density, long-term');kilogram
gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, economic allocation;RER;kilogram;gasoline, synthetic
market for wheat seed, for sowing;GLO;kilogram;wheat seed, for sowing
Cyclohexane;('air', 'low population density, long-term');kilogram
treatment of scrap steel, inert material landfill;CH;kilogram;scrap steel
Carbon monoxide, non-fossil;('air', 'non-urban air or from high stacks');kilogram
Toluene;('air', 'non-urban air or from high stacks');kilogram
Heat transfer plate;GLO;kilogram;Heat transfer plate
sheet rolling, aluminium;RoW;kilogram;sheet rolling, aluminium
diesel, burned in diesel-electric generating set, 18.5kW;GLO;megajoule;diesel, burned in diesel-electric generating set, 18.5kW
Propene;('air', 'urban air close to ground');kilogram
Lower retention;GLO;kilogram;Lower retention
Styrene;('air', 'low population density, long-term');kilogram
market for chemical, organic;GLO;kilogram;chemical, organic
Formaldehyde;('air',);kilogram
noise, octave 2, day time, suburban;('octave 2', 'day time', 'suburban');joule
algae cultivation | algae broth production;RER;kilogram;algae cultivation | algae broth production
methanol production facility, construction;RER;unit;methanol production facility, construction
market for tin;GLO;kilogram;tin
market for municipal solid waste;RoW;kilogram;municipal solid waste
market for precious metal refinery;GLO;unit;precious metal refinery
Formaldehyde;('air', 'urban air close to ground');kilogram
electricity production, oil;DE;kilowatt hour;electricity, high voltage
sheet rolling, chromium steel;RoW;kilogram;sheet rolling, chromium steel
road vehicle factory construction;RER;unit;road vehicle factory
market group for inorganic potassium fertiliser, as K2O;RER;kilogram;inorganic potassium fertiliser, as K2O
Plant oil production | refining of crude vegetable oil from rapeseed| Alloc Rec, U;RER;megajoule;Plant oil production | refining of crude vegetable oil from rapeseed| Alloc Rec, U
market group for light fuel oil;RER;kilogram;light fuel oil
Tray lid;GLO;kilogram;Tray lid
NMVOC, non-methane volatile organic compounds, unspecified origin;('air', 'non-urban air or from high stacks');kilogram
treatment of waste mineral wool, inert material landfill;CH;kilogram;waste mineral wool, for final disposal
charging station, 3kW;GLO;unit;charging station, 3kW
algae harvesting| dry algae production;RER;kilogram;algae harvesting| dry algae production
infrastructure construction, for regional distribution of oil product;RER;unit;infrastructure, for regional distribution of oil product
Magnesium;('water', 'ground-, long-term');kilogram
Wood, hard, standing;('natural resource', 'biotic');cubic meter
Cooling system;GLO;kilogram;Cooling system
Water, well, in ground;('natural resource', 'in water');cubic meter
Carbon dioxide, from soil or biomass stock;('air', 'non-urban air or from high stacks');kilogram
Selenium;('air', 'non-urban air or from high stacks');kilogram
market for nitrogen, liquid;RoW;kilogram;nitrogen, liquid
noise, octave 8, day time, rural;('octave 8', 'day time', 'rural');joule
maintenance, motor scooter;CH;unit;maintenance, motor scooter
market for phosphoric acid, industrial grade, without water, in 85% solution state;GLO;kilogram;phosphoric acid, industrial grade, without water, in 85% solution state
transmission network construction, long-distance;UCTE;kilometer;transmission network, long-distance
Carbon dioxide, fossil;('air', 'non-urban air or from high stacks');kilogram
market for transport, pipeline, onshore, petroleum;RER;ton kilometer;transport, pipeline, onshore, petroleum
market for potassium hydroxide;GLO;kilogram;potassium hydroxide
noise, octave 2, day time, urban;('octave 2', 'day time', 'urban');joule
Ethene;('air', 'low population density, long-term');kilogram
Occupation, forest, extensive;('natural resource', 'land');square meter-year
Pentane;('air', 'non-urban air or from high stacks');kilogram
Nickel;('air', 'low population density, long-term');kilogram
market for metal working factory;GLO;unit;metal working factory
Silicon;('water', 'surface water');kilogram
gravel production, crushed;RoW;kilogram;gravel, crushed
market for flat glass, uncoated;RER;kilogram;flat glass, uncoated
market for printed wiring board, through-hole mounted, unspecified, Pb free;GLO;kilogram;printed wiring board, through-hole mounted, unspecified, Pb free
Particulates, < 2.5 um;('air', 'non-urban air or from high stacks');kilogram
Ethanol from forest residues;RER;kilogram;Ethanol from forest residues
Cathode;GLO;kilogram;Cathode
BOD5, Biological Oxygen Demand;('water', 'surface water');kilogram
market group for electricity, medium voltage;EUR;kilowatt hour;electricity, medium voltage
Transformation, to forest, extensive;('natural resource', 'land');square meter
Anode current collector, LTO;JP;kilogram;Anode current collector, LTO
market for water, decarbonised;RoW;kilogram;water, decarbonised
Propene;('air', 'low population density, long-term');kilogram
Benzene;('air',);kilogram
market for electric connector, wire clamp;GLO;kilogram;electric connector, wire clamp
transport, helicopter;GLO;hour;transport, helicopter
market for heat, central or small-scale, other than natural gas;CH;megajoule;heat, central or small-scale, other than natural gas
transport, pipeline, supercritical CO2, 200km w recompression;RER;ton kilometer;transport, pipeline, supercritical CO2, 200km w recompression
Separator, NCA;JP;kilogram;Separator, NCA
market for polyethylene terephthalate, granulate, amorphous;GLO;kilogram;polyethylene terephthalate, granulate, amorphous
DOC, Dissolved Organic Carbon;('water', 'surface water');kilogram
treatment of used bicycle;CH;unit;used bicycle
market for sodium chloride, powder;GLO;kilogram;sodium chloride, powder
Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;('air',);kilogram
market for integrated circuit, logic type;GLO;kilogram;integrated circuit, logic type
treatment of hazardous waste, hazardous waste incineration;CH;kilogram;hazardous waste, for incineration
Methane, non-fossil;('air', 'non-urban air or from high stacks');kilogram
Ammonia;('air',);kilogram
market for rainwater mineral oil storage;Europe without Switzerland;cubic meter;rainwater mineral oil storage
Butane;('air',);kilogram
steam production, as energy carrier, in chemical industry;RoW;megajoule;heat, from steam, in chemical industry
market for polyphenylene sulfide;GLO;kilogram;polyphenylene sulfide
noise, octave 3, day time, urban;('octave 3', 'day time', 'urban');joule
frequency converter, for diaphragm compressor;GLO;unit;frequency converter, for diaphragm compressor
Cathode, NMC-622;GLO;kilogram;Cathode, NMC-622
NCA electrode material (LiNi0.8Co0.15Al0.05O2);JP;kilogram;NCA electrode material (LiNi0.8Co0.15Al0.05O2)
Hydrogen-3, Tritium;('water', 'surface water');kilo Becquerel
1-Pentene;('air', 'non-urban air or from high stacks');kilogram
market for aluminium alloy, AlMg3;GLO;kilogram;aluminium alloy, AlMg3
Hexane;('air', 'non-urban air or from high stacks');kilogram
market for concrete block;DE;kilogram;concrete block
Mercury;('air',);kilogram
market for ethanol, without water, in 99.7% solution state, from ethylene;RER;kilogram;ethanol, without water, in 99.7% solution state, from ethylene
market for iron sulfate;RoW;kilogram;iron sulfate
Methyl ethyl ketone;('air', 'non-urban air or from high stacks');kilogram
aluminium production, primary, ingot;IAI Area, Asia, without China and GCC;kilogram;aluminium, primary, ingot
Carbon monoxide, non-fossil;('air', 'urban air close to ground');kilogram
market for fly ash and scrubber sludge;Europe without Switzerland;kilogram;fly ash and scrubber sludge
PAH, polycyclic aromatic hydrocarbons;('air', 'non-urban air or from high stacks');kilogram
manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter
market group for electricity, low voltage;World;kilowatt hour;electricity, low voltage
Heptane;('air', 'low population density, long-term');kilogram
Arsenic;('air', 'non-urban air or from high stacks');kilogram
market for concrete, high exacting requirements;CH;cubic meter;concrete, high exacting requirements
transport, freight, lorry, fleet average;EUR;ton kilometer;transport, freight, lorry, fleet average
o-Xylene;('air', 'low population density, long-term');kilogram
market for electric motor, electric passenger car;GLO;kilogram;electric motor, electric passenger car
market for steel, unalloyed;World;kilogram;steel, unalloyed
Ethanol from wheat grains;RER;kilogram;Ethanol from wheat grains
activated bentonite production;DE;kilogram;activated bentonite
Methane, chlorodifluoro-, HCFC-22;('air', 'non-urban air or from high stacks');kilogram
Ethanol, from sugarbeet, at fuelling station;RER;kilogram;ethanol, without water, in 99.7% solution state, vehicle grade
Chromium VI;('air',);kilogram
High voltage system;GLO;kilogram;High voltage system
NMVOC, non-methane volatile organic compounds, unspecified origin;('air', 'urban air close to ground');kilogram
Copper;('air',);kilogram
Thermal pad;GLO;kilogram;Thermal pad
market for ammonium sulfate;RER;kilogram;ammonium sulfate
noise, octave 6, day time, urban;('octave 6', 'day time', 'urban');joule
Ethane;('air', 'non-urban air or from high stacks');kilogram
market for aluminium oxide, metallurgical;IAI Area, EU27 & EFTA;kilogram;aluminium oxide, metallurgical
noise, octave 4, day time, urban;('octave 4', 'day time', 'urban');joule
Carbon dioxide, fossil;('air', 'urban air close to ground');kilogram
Module lid;GLO;kilogram;Module lid
Occupation, industrial area;('natural resource', 'land');square meter-year
market for refrigerant R134a;GLO;kilogram;refrigerant R134a
Pentane;('air', 'urban air close to ground');kilogram
drilling, deep borehole/m;RER;meter;drilling, deep borehole/m
Sulfur dioxide;('air',);kilogram
anode production, graphite, for lithium-ion battery;RoW;kilogram;anode, graphite, for lithium-ion battery
Ethanol, from forest residues, at fuelling station;RER;kilogram;ethanol, without water, in 99.7% solution state, vehicle grade
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;DE;kilowatt hour;electricity, low voltage
Acetone;('air',);kilogram
